 201	 7.33081e+90 
 202	 1.46616e+91 
 203	 2.93233e+91 
 204	 5.86465e+91 
 205	 1.17293e+92 
 206	 2.34586e+92 
 207	 4.69172e+92 
 208	 9.38344e+92 
 209	 1.87669e+93 
 210	 3.75338e+93 
 211	 7.50675e+93 
 212	 1.50135e+94 
 213	 3.0027e+94 
 214	 6.0054e+94 
 215	 1.20108e+95 
 216	 2.40216e+95 
 217	 4.80432e+95 
 218	 9.60865e+95 
 219	 1.92173e+96 
 220	 3.84346e+96 
 221	 7.68692e+96 
 222	 1.53738e+97 
 223	 3.07477e+97 
 224	 6.14953e+97 
 225	 1.22991e+98 
 226	 2.45981e+98 
 227	 4.91963e+98 
 228	 9.83925e+98 
 229	 1.96785e+99 
 230	 3.9357e+99 
 231	 7.8714e+99 
 232	 1.57428e+100 
 233	 3.14856e+100 
 234	 6.29712e+100 
 235	 1.25942e+101 
 236	 2.51885e+101 
 237	 5.0377e+101 
 238	 1.00754e+102 
 239	 2.01508e+102 
 240	 4.03016e+102 
 241	 8.06032e+102 
 242	 1.61206e+103 
 243	 3.22413e+103 
 244	 6.44825e+103 
 245	 1.28965e+104 
 246	 2.5793e+104 
 247	 5.1586e+104 
 248	 1.03172e+105 
 249	 2.06344e+105 
 250	 4.12688e+105 
 251	 8.25376e+105 
 252	 1.65075e+106 
 253	 3.30151e+106 
 254	 6.60301e+106 
 255	 1.3206e+107 
 256	 2.6412e+107 
 257	 5.28241e+107 
 258	 1.05648e+108 
 259	 2.11296e+108 
 260	 4.22593e+108 
 261	 8.45185e+108 
 262	 1.69037e+109 
 263	 3.38074e+109 
 264	 6.76148e+109 
 265	 1.3523e+110 
 266	 2.70459e+110 
 267	 5.40919e+110 
 268	 1.08184e+111 
 269	 2.16367e+111 
 270	 4.32735e+111 
 271	 8.6547e+111 
 272	 1.73094e+112 
 273	 3.46188e+112 
 274	 6.92376e+112 
 275	 1.38475e+113 
 276	 2.7695e+113 
 277	 5.53901e+113 
 278	 1.1078e+114 
 279	 2.2156e+114 
 280	 4.43121e+114 
 281	 8.86241e+114 
 282	 1.77248e+115 
 283	 3.54496e+115 
 284	 7.08993e+115 
 285	 1.41799e+116 
 286	 2.83597e+116 
 287	 5.67194e+116 
 288	 1.13439e+117 
 289	 2.26878e+117 
 290	 4.53755e+117 
 291	 9.07511e+117 
 292	 1.81502e+118 
 293	 3.63004e+118 
 294	 7.26009e+118 
 295	 1.45202e+119 
 296	 2.90403e+119 
 297	 5.80807e+119 
 298	 1.16161e+120 
 299	 2.32323e+120 
 300	 4.64646e+120 
